Carrier Code,Origin Airport,Scheduled Elapsed Time (Minutes),month,season,WeekDay,latitude,elevation,wind_direction,wind_speed,visibility_dist,air_temparature,sea_level_pressure,SYR_wind_direction,SYR_wind_speed,SYR_visibility_dist,SYR_air_temparature,SYR_sea_level_pressure,SCHED_ARRV_TIME_CAT,PREV_STAT
AA,ORD,113,4,spring,Wednesday,41.96019,201.8,86,9.7,9.9,61.9,1009.8,4,0.0,9.9,56.7,1014.9,Night,EARLY
AA,ORD,113,4,spring,Wednesday,41.96019,201.8,86,9.7,9.9,61.9,1009.8,4,0.0,9.9,56.7,1014.9,Night,ONTIME
AA,ORD,113,4,spring,Wednesday,41.96019,201.8,86,9.7,9.9,61.9,1009.8,4,0.0,9.9,56.7,1014.9,Night,LATE
DL,JFK,86,4,spring,Wednesday,40.63915,3.4,42,5.0,9.9,64.1,1016.3,341,4.8,8.6,61.0,1013.8,Afternoon,EARLY
DL,JFK,86,4,spring,Wednesday,40.63915,3.4,42,5.0,9.9,64.1,1016.3,341,4.8,8.6,61.0,1013.8,Afternoon,ONTIME
DL,JFK,86,4,spring,Wednesday,40.63915,3.4,42,5.0,9.9,64.1,1016.3,341,4.8,8.6,61.0,1013.8,Afternoon,LATE
B6,MCO,170,4,spring,Wednesday,28.4339,27.4,159,14.0,9.9,73.0,1013.2,98,4.5,9.8,61.9,1013.4,Afternoon,EARLY
B6,MCO,170,4,spring,Wednesday,28.4339,27.4,159,14.0,9.9,73.0,1013.2,98,4.5,9.8,61.9,1013.4,Afternoon,ONTIME
B6,MCO,170,4,spring,Wednesday,28.4339,27.4,159,14.0,9.9,73.0,1013.2,98,4.5,9.8,61.9,1013.4,Afternoon,LATE
AA,ORD,113,4,spring,Thursday,41.96019,201.8,2,8.9,9.9,55.6,1000.8,110,13.6,9.9,61,997.7,Night,EARLY
AA,ORD,113,4,spring,Thursday,41.96019,201.8,2,8.9,9.9,55.6,1000.8,110,13.6,9.9,61,997.7,Night,ONTIME
AA,ORD,113,4,spring,Thursday,41.96019,201.8,2,8.9,9.9,55.6,1000.8,110,13.6,9.9,61,997.7,Night,LATE
DL,JFK,86,4,spring,Thursday,40.63915,3.4,40,6,9.9,61.8,1013,140,15.8,9.9,68.9,1004.1,Afternoon,EARLY
DL,JFK,86,4,spring,Thursday,40.63915,3.4,40,6,9.9,61.8,1013,140,15.8,9.9,68.9,1004.1,Afternoon,ONTIME
DL,JFK,86,4,spring,Thursday,40.63915,3.4,40,6,9.9,61.8,1013,140,15.8,9.9,68.9,1004.1,Afternoon,LATE
B6,MCO,170,4,spring,Thursday,28.4339,27.4,190,18.2,8.2,78.5,1008.1,140,15.8,9.9,68.9,1004.1,Afternoon,EARLY
B6,MCO,170,4,spring,Thursday,28.4339,27.4,190,18.2,8.2,78.5,1008.1,140,15.8,9.9,68.9,1004.1,Afternoon,ONTIME
B6,MCO,170,4,spring,Thursday,28.4339,27.4,190,18.2,8.2,78.5,1008.1,140,15.8,9.9,68.9,1004.1,Afternoon,LATE
AA,ORD,113,4,spring,Friday,41.96019,201.8,273,5.1,9.9,52.9,1013.4,239,20.4,9.9,51,991.8,Night,EARLY
AA,ORD,113,4,spring,Friday,41.96019,201.8,273,5.1,9.9,52.9,1013.4,239,20.4,9.9,51,991.8,Night,ONTIME
AA,ORD,113,4,spring,Friday,41.96019,201.8,273,5.1,9.9,52.9,1013.4,239,20.4,9.9,51,991.8,Night,LATE
DL,JFK,86,4,spring,Friday,40.63915,3.4,259,20.2,9.9,58,995.3,240,13.1,9.9,58.9,988.8,Afternoon,EARLY
DL,JFK,86,4,spring,Friday,40.63915,3.4,259,20.2,9.9,58,995.3,240,13.1,9.9,58.9,988.8,Afternoon,ONTIME
DL,JFK,86,4,spring,Friday,40.63915,3.4,259,20.2,9.9,58,995.3,240,13.1,9.9,58.9,988.8,Afternoon,LATE
B6,MCO,170,4,spring,Friday,28.4339,27.4,290,11.4,9.9,76.1,1019.9,240,13.1,9.9,58.9,988.8,Afternoon,EARLY
B6,MCO,170,4,spring,Friday,28.4339,27.4,290,11.4,9.9,76.1,1019.9,240,13.1,9.9,58.9,988.8,Afternoon,ONTIME
B6,MCO,170,4,spring,Friday,28.4339,27.4,290,11.4,9.9,76.1,1019.9,240,13.1,9.9,58.9,988.8,Afternoon,LATE
AA,ORD,113,4,spring,Saturday,41.96019,201.8,198,9,9.9,68.6,1011.1,299,9.4,9.9,44.1,1010.7,Night,EARLY
AA,ORD,113,4,spring,Saturday,41.96019,201.8,198,9,9.9,68.6,1011.1,299,9.4,9.9,44.1,1010.7,Night,ONTIME
AA,ORD,113,4,spring,Saturday,41.96019,201.8,198,9,9.9,68.6,1011.1,299,9.4,9.9,44.1,1010.7,Night,LATE
DL,JFK,86,4,spring,Saturday,40.63915,3.4,289,15.9,9.9,52,1004.5,299,24,9.9,44.1,1005.3,Afternoon,EARLY
DL,JFK,86,4,spring,Saturday,40.63915,3.4,289,15.9,9.9,52,1004.5,299,24,9.9,44.1,1005.3,Afternoon,ONTIME
DL,JFK,86,4,spring,Saturday,40.63915,3.4,289,15.9,9.9,52,1004.5,299,24,9.9,44.1,1005.3,Afternoon,LATE
