name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Chicago,2024-04-10T00:00:00,51.7,51.7,39.0,61.74,0.0,0,,0,0,3.4,3.0,250,1013.9,78.4,9.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T01:00:00,50.5,50.5,39.6,66.19,0.0,0,,0,0,3.4,0.4,34,1014.0,78.4,9.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T02:00:00,48.8,48.8,39.0,68.83,0.0,0,,0,0,3.4,1.2,339,1013.8,29.4,9.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T03:00:00,48.6,48.6,39.5,70.67,0.0,0,,0,0,4.7,3.0,198,1013.7,24.2,9.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T04:00:00,46.8,45.9,38.9,74.04,0.0,0,,0,0,3.4,3.1,258,1013.4,38.9,9.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T05:00:00,46.7,44.7,38.9,74.29,0.0,0,,0,0,3.4,4.4,224,1013.8,64.4,9.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T06:00:00,46.0,46.0,38.9,76.29,0.0,0,,0,0,4.7,1.1,319,1013.9,78.4,9.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T07:00:00,46.4,46.4,39.0,75.51,0.0,0,,0,0,4.7,0.0,0,1014.4,69.5,9.9,30,0.1,0,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T08:00:00,49.8,49.8,41.9,74.29,0.0,0,,0,0,3.4,3.0,220,1014.4,78.4,9.9,124,0.4,1,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T09:00:00,54.7,54.7,41.1,60.18,0.0,0,,0,0,3.4,4.1,208,1014.4,78.4,9.9,216,0.8,2,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T10:00:00,58.4,58.4,40.9,52.09,0.0,0,,0,0,4.7,2.8,0,1014.2,78.4,9.9,251,0.9,3,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T11:00:00,61.1,61.1,39.1,44.25,0.0,0,,0,0,5.8,0.6,28,1013.8,80.9,9.9,318,1.1,3,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T12:00:00,64.0,64.0,38.2,38.54,0.0,0,,0,0,4.7,0.4,0,1014.0,78.4,9.9,476,1.7,5,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T13:00:00,65.8,65.8,38.8,37.0,0.0,0,,0,0,11.4,6.0,110,1013.4,78.4,9.9,367,1.3,4,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T14:00:00,67.0,67.0,36.2,32.07,0.0,0,,0,0,13.9,3.8,94,1012.8,78.4,9.9,294,1.1,3,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T15:00:00,66.9,66.9,34.7,30.34,0.0,0,,0,0,15.0,7.8,71,1011.8,74.1,9.9,366,1.3,4,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T16:00:00,65.2,65.2,36.0,33.77,0.0,0,,0,0,19.7,12.5,97,1011.4,78.4,9.9,102,0.4,1,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T17:00:00,64.1,64.1,36.7,36.05,0.0,0,,0,0,13.9,11.2,112,1011.5,91.4,9.9,135,0.5,1,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T18:00:00,62.9,62.9,37.0,38.19,0.0,0,,0,0,12.8,10.2,82,1011.1,88.1,9.9,44,0.2,0,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T19:00:00,62.5,62.5,33.6,33.77,0.0,0,,0,0,12.8,9.5,87,1010.3,88.1,9.9,7,0.0,0,10,Partially cloudy,partly-cloudy-day,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T20:00:00,61.9,61.9,34.1,35.34,0.0,0,,0,0,11.4,9.7,86,1009.8,88.1,9.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T21:00:00,61.1,61.1,33.2,34.89,0.0,0,,0,0,11.4,8.0,66,1009.5,88.1,9.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T22:00:00,60.1,60.1,33.3,36.33,0.0,0,,0,0,11.4,7.8,61,1008.9,88.1,9.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-10T23:00:00,58.5,58.5,34.3,40.08,0.0,0,,0,0,12.8,9.2,65,1008.3,88.1,9.9,0,0.0,0,10,Partially cloudy,partly-cloudy-night,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-11T00:00:00,57.6,57.6,34.9,42.44,0.0,0,,0,0,13.9,6.6,77,1008.0,100.0,9.9,0,0.0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-11T01:00:00,55.3,55.3,35.9,47.77,0.0,0,,0,0,13.9,6.6,42,1007.2,98.7,9.9,0,0.0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-11T02:00:00,54.9,54.9,38.8,54.44,0.0,0,,0,0,13.9,10.2,63,1006.2,100.0,9.9,0,0.0,0,10,Overcast,cloudy,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
Chicago,2024-04-11T03:00:00,53.9,53.9,42.9,66.28,0.01,100,rain,0,0,15.0,6.9,67,1005.1,100.0,9.1,0,0.0,0,10,"Rain, Overcast",rain,"72534014819,KORD,KMDW,72530094846,F1983,74466504838,KPWK"
