Carrier Code,Origin Airport,Scheduled Elapsed Time (Minutes),month,season,WeekDay,latitude,elevation,wind_direction,wind_speed,visibility_dist,air_temparature,sea_level_pressure,SYR_wind_direction,SYR_wind_speed,SYR_visibility_dist,SYR_air_temparature,SYR_sea_level_pressure,SCHED_ARRV_TIME_CAT,PREV_STAT
AA,ORD,113,4,spring,Friday,41.96019,201.8,270,13.9,10.1,53,1020,260,9.2,10.1,52.1,1016,Night,EARLY
AA,ORD,113,4,spring,Friday,41.96019,201.8,270,13.9,10.1,53,1020,260,9.2,10.1,52.1,1016,Night,ONTIME
AA,ORD,113,4,spring,Friday,41.96019,201.8,270,13.9,10.1,53,1020,260,9.2,10.1,52.1,1016,Night,LATE
DL,JFK,86,4,spring,Friday,40.63915,3.4,120,11.4,10.1,54.1,1019,190,20.8,5.9,60,1010,Afternoon,EARLY
DL,JFK,86,4,spring,Friday,40.63915,3.4,120,11.4,10.1,54.1,1019,190,20.8,5.9,60,1010,Afternoon,ONTIME
DL,JFK,86,4,spring,Friday,40.63915,3.4,120,11.4,10.1,54.1,1019,190,20.8,5.9,60,1010,Afternoon,LATE
B6,MCO,170,4,spring,Friday,28.4339,27.4,260,4.7,10.1,89,1017,190,20.8,5.9,60,1010,Afternoon,EARLY
B6,MCO,170,4,spring,Friday,28.4339,27.4,260,4.7,10.1,89,1017,190,20.8,5.9,60,1010,Afternoon,ONTIME
B6,MCO,170,4,spring,Friday,28.4339,27.4,260,4.7,10.1,89,1017,190,20.8,5.9,60,1010,Afternoon,LATE
AA,ORD,113,4,spring,Saturday,41.96019,201.8,306.7,7.4,10.1,47.4,1022,270,11.6,10.1,41.3,1017,Night,EARLY
AA,ORD,113,4,spring,Saturday,41.96019,201.8,306.7,7.4,10.1,47.4,1022,270,11.6,10.1,41.3,1017,Night,ONTIME
AA,ORD,113,4,spring,Saturday,41.96019,201.8,306.7,7.4,10.1,47.4,1022,270,11.6,10.1,41.3,1017,Night,LATE
DL,JFK,86,4,spring,Saturday,40.63915,3.4,270,11.4,10.1,64.7,1012,283.3,15.4,10.1,51,1014,Afternoon,EARLY
DL,JFK,86,4,spring,Saturday,40.63915,3.4,270,11.4,10.1,64.7,1012,283.3,15.4,10.1,51,1014,Afternoon,ONTIME
DL,JFK,86,4,spring,Saturday,40.63915,3.4,270,11.4,10.1,64.7,1012,283.3,15.4,10.1,51,1014,Afternoon,LATE
AA,ORD,113,4,spring,Sunday,41.96019,201.8,263.3,8.7,15,51.9,1018,240,14.8,15,43.1,1015,Night,EARLY
AA,ORD,113,4,spring,Sunday,41.96019,201.8,263.3,8.7,15,51.9,1018,240,14.8,15,43.1,1015,Night,ONTIME
AA,ORD,113,4,spring,Sunday,41.96019,201.8,263.3,8.7,15,51.9,1018,240,14.8,15,43.1,1015,Night,LATE
DL,JFK,86,4,spring,Sunday,40.63915,3.4,260,13.2,15,58.9,1015,283.3,15.2,15,51.2,1015,Afternoon,EARLY
DL,JFK,86,4,spring,Sunday,40.63915,3.4,260,13.2,15,58.9,1015,283.3,15.2,15,51.2,1015,Afternoon,ONTIME
DL,JFK,86,4,spring,Sunday,40.63915,3.4,260,13.2,15,58.9,1015,283.3,15.2,15,51.2,1015,Afternoon,LATE
B6,MCO,170,4,spring,Sunday,28.4339,27.4,260,8.1,10.1,90.1,1017,283.3,15.2,15,51.2,1015,Afternoon,EARLY
B6,MCO,170,4,spring,Sunday,28.4339,27.4,260,8.1,10.1,90.1,1017,283.3,15.2,15,51.2,1015,Afternoon,ONTIME
B6,MCO,170,4,spring,Sunday,28.4339,27.4,260,8.1,10.1,90.1,1017,283.3,15.2,15,51.2,1015,Afternoon,LATE
AA,ORD,113,4,spring,Monday,41.96019,201.8,206.7,10.5,15,57.5,1013,180,6.3,15,45,1019,Night,EARLY
AA,ORD,113,4,spring,Monday,41.96019,201.8,206.7,10.5,15,57.5,1013,180,6.3,15,45,1019,Night,ONTIME
AA,ORD,113,4,spring,Monday,41.96019,201.8,206.7,10.5,15,57.5,1013,180,6.3,15,45,1019,Night,LATE
DL,JFK,86,4,spring,Monday,40.63915,3.4,230,10.1,15,62.9,1014,290,12.8,15,56.7,1017,Afternoon,EARLY
DL,JFK,86,4,spring,Monday,40.63915,3.4,230,10.1,15,62.9,1014,290,12.8,15,56.7,1017,Afternoon,ONTIME
DL,JFK,86,4,spring,Monday,40.63915,3.4,230,10.1,15,62.9,1014,290,12.8,15,56.7,1017,Afternoon,LATE
B6,MCO,170,4,spring,Monday,28.4339,27.4,270,15.2,12.2,83.7,1014,290,12.8,15,56.7,1017,Afternoon,EARLY
B6,MCO,170,4,spring,Monday,28.4339,27.4,270,15.2,12.2,83.7,1014,290,12.8,15,56.7,1017,Afternoon,ONTIME
B6,MCO,170,4,spring,Monday,28.4339,27.4,270,15.2,12.2,83.7,1014,290,12.8,15,56.7,1017,Afternoon,LATE
